Year,Deposit interest rate (%),Gross domestic savings (constant 2010 US$),Electric power consumption (kWh per capita),Lending interest rate (%),GNI per capita (constant 2010 US$),"Life expectancy at birth, total (years)","Inflation, consumer prices (annual %)",Household final consumption expenditure per capita (constant 2010 US$),GDP per capita (constant 2010 US$),Trade (constant 2010 US$),Cost to import (US$ per container),"Foreign direct investment, net inflows (BoP, current US$)",Trade in services (constant 2010 US$),"Unemployment, total (% of total labor force) (national estimate)",Merchandise imports from high-income economies (% of total merchandise imports),Household final consumption expenditure per capita (% change),Trade in services (% change),Electric power consumption (% change),"Foreign direct investment, net inflows (% change)",Gross domestic savings (% change),GNI per capita (% change),Cost to import (% change),Trade (% change),GDP per capita (% change)
1990,16.35,165048312023.84,8527.23,17.9,34451.34,76.99,7.56,18929.77,35812.93,197181370792.06,,8110892263.76,48180515200.46,6.9,89.01,2.64,8.0,4.9,11.73,0.65,1.41,,3.88,2.01
1991,11.41,146498355199.97,8522.16,14.09,33869.18,77.28,7.27,18889.24,35225.04,196614900340.51,,4312358476.32,46910191130.94,9.6,86.24,-0.21,-2.64,-0.06,-46.83,-11.24,-1.69,,-0.29,-1.64
1992,7.36,138003579431.68,8550.33,10.67,33819.7,77.38,3.22,19102.73,34939.06,202579842774.3,,5699133705.11,48346543517.57,10.8,84.22,1.13,3.06,0.33,32.16,-5.8,-0.15,,3.03,-0.81
1993,5.95,147885616549.67,8701.76,9.42,35020.98,77.88,0.99,19281.5,36003.67,225654473196.41,,4318356055.64,54106643873.77,10.9,83.79,0.94,11.91,1.77,-24.23,7.16,3.55,,11.39,3.05
1994,5.94,157161110393.92,8812.49,9.23,36075.27,77.88,1.81,19538.14,37063.08,241390423014.89,,5000720814.42,62988302021.29,9.8,84.07,1.33,16.42,1.27,15.8,6.27,3.01,,6.97,2.94
1995,7.38,164980770758.67,8994.36,10.7,36819.43,77.83,1.89,20194.24,38038.47,259374003196.35,,12026426011.75,64931177941.28,8.5,83.52,3.36,3.08,2.06,140.49,4.98,2.06,,7.45,2.63
1996,6.9,174152923119.28,9108.3,10.5,37735.79,78.08,4.64,20586.77,39024.57,273100530875.33,,6181381324.81,68900971313.36,8.6,82.19,1.94,6.11,1.27,-48.6,5.56,2.49,,5.29,2.59
1997,5.21,186723710771.21,9291.08,8.89,38853.2,78.48,2.61,20957.1,40113.72,281890572259.31,,7631273089.61,66743465088.78,8.5,80.48,1.8,-3.13,2.01,23.46,7.22,2.96,,3.22,2.79
1998,4.48,191707404299.48,9783.44,8.15,40240.56,78.63,0.25,21754.01,41459.69,310085346074.65,,5956935412.56,69575071871.97,7.8,79.51,3.8,4.24,5.3,-21.94,2.67,3.57,,10.0,3.36
1999,4.19,194212673350.25,10036.46,7.99,41797.09,78.93,0.85,22680.24,43041.05,317743575119.15,,3311038586.09,79655459011.91,7.0,77.93,4.26,14.49,2.59,-44.42,1.31,3.87,,2.47,3.81
2000,5.07,205395852280.46,10193.91,9.27,42993.26,79.23,1.47,23337.83,44176.31,346097274238.03,,14892978180.18,80111966116.39,6.3,75.42,2.9,0.57,1.57,349.8,5.76,2.86,,8.92,2.64
2001,3.86,203762828954.25,10636.38,8.66,43264.79,79.63,4.48,23782.16,44425.57,380487970817.9,,10717133150.69,80624782741.88,6.8,74.47,1.9,0.64,4.34,-28.04,-0.8,0.63,,9.94,0.56
2002,3.7,218999363932.56,10813.12,8.16,44417.42,79.94,4.38,24219.61,45579.19,370161890066.86,,14656321800.54,86098625129.42,6.4,73.16,1.84,6.79,1.66,36.76,7.48,2.66,,-2.71,2.6
2003,3.51,220000193339.2,10434.87,8.41,45180.33,80.24,3.0,24946.32,46402.68,368983674458.97,,8985246029.5,90761558000.15,5.9,71.37,3.0,5.42,-3.5,-38.69,0.46,1.72,,-0.32,1.81
2004,3.85,234489612717.31,10554.82,8.85,46481.35,80.49,2.77,25927.25,47771.05,353139851967.88,,42907672820.38,88065291811.81,5.4,70.58,3.93,-2.97,1.15,377.53,6.59,2.88,,-4.29,2.95
2005,3.89,245468914754.08,10458.45,9.06,46928.43,80.84,2.34,26740.84,48656.48,385672898758.64,1120.0,-25093141435.19,88144160249.03,5.0,68.67,3.14,0.09,-0.91,-158.48,4.68,0.96,,9.21,1.85
2006,4.06,264431986311.67,10490.48,9.41,47508.21,81.04,2.67,27179.97,49374.06,419171367834.23,1120.0,30551100656.6,90821571505.94,4.8,66.23,1.64,3.04,0.31,-221.75,7.73,1.24,0.0,8.69,1.47
2007,4.53,278428925691.1,10972.89,8.2,48679.61,81.29,3.54,28300.83,50910.34,439008112345.36,1120.0,44440090037.77,102716809376.89,4.4,65.27,4.12,13.1,4.6,45.46,5.29,2.47,0.0,4.73,3.11
2008,4.72,291919660621.26,10749.11,8.91,49652.89,81.4,2.33,29051.68,51749.9,463150628818.55,1239.0,45160024270.94,97419898701.88,4.2,64.12,2.65,-5.16,-2.04,1.62,4.85,2.0,10.62,5.5,1.65
2009,3.08,313797997172.35,10791.59,6.02,49797.15,81.54,4.35,28546.42,51616.69,503250312794.36,1119.0,28683266147.88,100555817683.49,5.6,59.24,-1.74,3.22,0.4,-36.49,7.49,0.29,-9.69,8.66,-0.26
2010,4.21,303798115035.67,10746.85,7.28,49831.83,81.7,1.82,28745.5,51845.65,455305205672.51,1119.0,35210733743.08,98029414366.7,5.2,57.61,0.7,-2.51,-0.41,22.76,-3.19,0.07,0.0,-9.53,0.44
2011,4.34,329377091116.49,10742.47,7.74,50164.7,81.9,2.85,29428.62,52346.9,482314463574.05,1119.0,65554890649.53,96428762339.98,5.1,58.84,2.38,-1.63,-0.04,86.18,8.42,0.67,0.0,5.93,0.97
2012,3.92,342109864258.64,10445.15,6.98,51628.49,82.05,3.3,29669.34,53321.88,517433590387.3,1120.0,57550426822.61,95149795763.15,5.2,58.44,0.82,-1.33,-2.77,-12.21,3.87,2.92,0.09,7.28,1.86
2013,3.25,337405922716.76,10133.86,6.18,52317.55,82.15,1.76,29630.21,53703.57,507633066797.83,1170.0,53997299139.89,96469134230.63,5.7,57.1,-0.13,1.39,-2.98,-6.17,-1.37,1.33,4.46,-1.89,0.72
