Year,"Foreign direct investment, net inflows (BoP, current US$)","Life expectancy at birth, total (years)",Electric power consumption (kWh per capita),Gross domestic savings (constant 2010 US$),Household final consumption expenditure per capita (constant 2010 US$),Cost to import (US$ per container),Lending interest rate (%),"Unemployment, total (% of total labor force) (national estimate)",Deposit interest rate (%),Trade in services (constant 2010 US$),GDP per capita (constant 2010 US$),Trade (constant 2010 US$),Merchandise imports from high-income economies (% of total merchandise imports),"Inflation, consumer prices (annual %)",GNI per capita (constant 2010 US$),Household final consumption expenditure per capita (% change),Trade in services (% change),Electric power consumption (% change),"Foreign direct investment, net inflows (% change)",Gross domestic savings (% change),GNI per capita (% change),Cost to import (% change),Trade (% change),GDP per capita (% change)
1990,236690000.0,57.94,272.9,110993368631.8,352.34,,16.5,,,15472295377.41,541.74,71873730069.27,70.2,3.26,534.85,2.32,4.15,5.85,-6.11,8.96,3.23,,7.89,3.37
1991,73537638.39,58.44,291.8,107203309172.2,352.69,,17.88,,,18851533014.85,536.43,79572686169.52,63.99,8.97,528.44,0.1,21.84,6.93,-68.93,-3.41,-1.2,,10.71,-0.98
1992,276512438.97,58.95,305.39,118188282658.14,354.62,,18.92,,,20005193664.8,554.64,91076660949.63,72.16,13.87,546.3,0.55,6.12,4.66,276.01,10.25,3.38,,14.46,3.39
1993,550370024.93,59.45,321.57,112190524139.73,362.82,,16.25,,,21502715549.09,569.67,101709748018.99,74.46,11.79,561.85,2.31,7.49,5.3,99.04,-5.07,2.85,,11.67,2.71
1994,973271468.72,59.95,342.32,128616025676.36,373.14,,14.75,3.7,,24015746110.49,595.91,110837511000.85,75.86,6.36,588.32,2.84,11.69,6.45,76.84,14.64,4.71,,8.97,4.61
1995,2143628110.28,60.44,359.9,150425007183.2,388.33,,15.46,2.2,,28090767113.65,628.86,135797010290.12,72.64,10.21,621.87,4.07,16.97,5.14,120.25,16.96,5.7,,22.52,5.53
1996,2426057021.91,60.92,360.95,135942725711.31,410.65,,15.96,2.1,,29925562811.98,663.62,140058499760.2,75.31,10.22,657.5,5.75,6.53,0.29,13.18,-9.63,5.73,,3.14,5.53
1997,3577330042.35,61.37,376.65,157530965895.74,415.07,,13.83,2.6,,34441428946.96,677.68,150315285430.62,79.52,8.98,671.89,1.08,15.09,4.35,47.45,15.88,2.19,,7.32,2.12
1998,2634651657.77,61.81,387.03,157102391340.84,433.97,,13.54,3.6,,43929268701.27,706.43,167232905291.8,77.03,7.16,700.44,4.55,27.55,2.76,-26.35,-0.27,4.25,,11.25,4.24
1999,2168591054.38,62.23,393.21,194955033752.83,452.1,,12.54,,,53199742159.37,755.12,190598440904.15,71.56,13.23,749.31,4.18,21.1,1.6,-17.69,24.09,6.98,,13.97,6.89
2000,3584217307.19,62.63,394.8,188472986075.19,459.43,,12.29,4.3,,61082898919.77,770.35,214551029382.59,57.56,4.67,762.26,1.62,14.82,0.41,65.28,-3.32,1.73,,12.57,2.02
2001,5128093561.63,63.02,394.95,210219013745.25,478.42,,12.08,,,64472727765.18,793.64,217312483020.1,54.13,4.01,786.86,4.13,5.55,0.04,43.07,11.54,3.23,,1.29,3.02
2002,5208967106.28,63.4,411.82,211980012088.37,483.89,,11.92,,,68284856175.54,810.0,256086997515.28,52.04,3.68,804.72,1.14,5.91,4.27,1.58,0.84,2.27,,17.84,2.06
2003,3681984671.43,63.77,431.71,242436954674.78,504.16,,11.46,,,75136321728.23,859.34,286361092492.04,53.81,4.39,853.07,4.19,10.03,4.83,-29.31,14.37,6.01,,11.82,6.09
2004,5429250989.86,64.15,452.9,315568069651.55,521.73,,10.92,,,104759497641.68,912.56,378869059154.43,52.84,3.81,906.36,3.49,39.43,4.91,47.45,30.17,6.25,,32.3,6.19
2005,7269407225.61,64.52,469.37,354252616464.59,557.97,622.3,10.75,4.4,,133780653624.13,981.69,464011128561.78,51.33,3.77,974.84,6.95,27.7,3.64,33.89,12.26,7.56,,22.47,7.57
2006,20029119267.14,64.91,510.7,401530941834.0,596.02,622.3,11.19,,,165475981943.42,1056.24,556003782582.3,60.72,4.25,1048.18,6.82,23.69,8.81,175.53,13.35,7.52,0.0,19.83,7.59
2007,25227740886.68,65.3,543.36,510828282737.36,619.58,465.3,13.02,,,173955832369.3,1130.05,615362455514.08,63.18,6.15,1125.34,3.95,5.12,6.39,25.96,27.22,7.36,-25.23,10.68,6.99
2008,43406277075.81,65.7,562.94,456905684231.7,654.41,488.8,13.31,,,226131354268.87,1156.97,744632493031.74,63.31,6.37,1150.02,5.62,29.99,3.6,72.06,-10.56,2.19,5.05,21.01,2.38
2009,35581372929.66,66.1,601.55,527296751529.17,692.39,488.8,12.19,,,196599056665.34,1237.39,702808326333.19,62.01,8.35,1229.95,5.8,-13.06,6.86,-18.03,15.41,6.95,0.0,-5.62,6.95
2010,27396885033.78,66.51,643.88,599015005342.15,742.47,519.4,8.33,3.5,,231806858634.48,1345.72,823154655975.79,62.98,10.88,1331.14,7.23,17.91,7.04,-23.0,13.6,8.23,6.26,17.12,8.75
2011,36498654597.86,66.9,698.43,583559866748.62,800.66,540.5,10.17,,,255406036695.72,1416.12,982645535486.93,62.06,11.99,1403.7,7.84,10.18,8.47,33.22,-2.58,5.45,4.06,19.38,5.23
2012,23995685014.21,67.29,724.49,588501133699.81,832.25,564.0,10.6,3.6,,280720502998.15,1476.57,1040223671120.32,62.23,8.86,1459.34,3.95,9.91,3.73,-34.26,0.85,3.96,4.35,5.86,4.27
2013,28153031270.32,67.66,765.0,630395668401.0,877.51,1462.0,10.29,4.5,,294110029875.77,1555.02,1066957960014.75,61.78,9.31,1535.98,5.44,4.77,5.59,17.33,7.12,5.25,159.22,2.57,5.31
